월,1,2,3,4,5,6,7,8,9,10,11,12
창호1,0.093468489,0.133136704,0.213383632,0.373884123,0.383146999,0.384454102,0.374935576,0.335235063,0.357691591,0.1515758,0.085475623,0.020748353
창호2,1,1,1,1,1,1,1,1,1,1,1,1
창호3,1,1,1,1,1,1,1,1,1,1,1,1
창호4,1,1,1,1,1,1,1,1,1,1,1,1
창호5,0.093468489,0.133136704,0.213383632,0.373884123,0.383146999,0.384454102,0.374935576,0.335235063,0.357691591,0.1515758,0.085475623,0.020748353
