월,1,2,3,4,5,6,7,8,9,10,11,12
외벽1,58.4954756,82.01563131,93.19371538,100.2796346,118.7859681,124.0465515,93.52963635,92.55407992,97.39287621,94.66205528,64.37742955,52.30097657
외벽2,63.34961663,83.10565213,101.8948343,92.76787243,120.3542266,124.8291446,87.63996116,99.59588713,93.60352948,99.57606825,60.18120709,55.62417351
외벽3,167.2591572,164.9723754,147.8680565,104.3596558,99.65444041,88.63260123,76.8153507,91.22106393,114.1268663,169.1935929,136.2905913,142.8743802
외벽4,28.29815724,36.84069404,44.82691278,53.61939168,67.52543104,76.06333617,60.98784221,57.93496758,51.03861005,44.3288843,31.42725117,26.01098808
