월,온도,일
1,-2.45188172,31 
2,1.17756315,28 
3,5.993001346,31 
4,11.55180556,30 
5,17.67352151,31 
6,22.45958333,30 
7,24.1641129,31 
8,25.79112903,31 
9,21.79777778,30 
10,14.58024194,31 
11,8.380694444,30 
12,1.108333333,31 
