월,1,2,3,4,5,6,7,8,9,10,11,12
창호1,58.4954756,82.01563131,93.19371538,100.2796346,118.7859681,124.0465515,93.52963635,92.55407992,97.39287621,94.66205528,64.37742955,52.30097657
창호2,80.40111545,105.3228657,132.3171923,123.9541937,163.5657757,167.944059,116.6636036,126.4399436,119.9756071,124.6989209,75.00587757,68.09374872
창호3,183.939287,194.1447673,194.0185518,154.7346703,169.3067431,158.1495641,123.1852915,135.1528472,156.0198974,204.7121719,153.7080561,154.2993714
창호4,28.29815724,36.84069404,44.82691278,53.61939168,67.52543104,76.06333617,60.98784221,57.93496758,51.03861005,44.3288843,31.42725117,26.01098808
창호5,28.29815724,36.84069404,44.82691278,53.61939168,67.52543104,76.06333617,60.98784221,57.93496758,51.03861005,44.3288843,31.42725117,26.01098808
